Series_Title,Overview,IMDB_Rating,Poster_Link,Film-Noir,Sport,Mystery,War,Thriller,History,Musical,Fantasy,Animation,Comedy,Adventure,Action,Horror,Music,Sci-Fi,Biography,Western,Crime,Drama,Family,Romance,Emotion
"Il buono, il brutto, il cattivo",a bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery,0.7058823529411766,"https://m.media-amazon.com/images/M/MV5BOTQ5NDI3MTI4MF5BMl5BanBnXkFtZTgwNDQ4ODE5MDE@._V1_UX67_CR0,0,67,98_AL_.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Angry
The Lord of the Rings: The Two Towers,while frodo and sam edge closer to mordor with the help of the shifty gollum the divided fellowship makes a stand against saurons new ally saruman and his hordes of isengard,0.6470588235294112,"https://m.media-amazon.com/images/M/MV5BZGMxZTdjZmYtMmE2Ni00ZTdkLWI5NTgtNjlmMjBiNzU2MmI5XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX67_CR0,0,67,98_AL_.jpg",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,Angry
The Matrix,when a beautiful stranger leads computer hacker neo to a forbidding underworld he discovers the shocking truththe life he knows is the elaborate deception of an evil cyberintelligence,0.6470588235294112,"https://m.media-amazon.com/images/M/MV5BNzQzOTk3OTAtNDQ0Zi00ZTVkLWI0MTEtMDllZjNkYzNjNTc4L2ltYWdlXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX67_CR0,0,67,98_AL_.jpg",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,Angry
Goodfellas,the story of henry hill and his life in the mob covering his relationship with his wife karen hill and his mob partners jimmy conway and tommy devito in the italianamerican crime syndicate,0.6470588235294112,"https://m.media-amazon.com/images/M/MV5BY2NkZjEzMDgtN2RjYy00YzM1LWI4ZmQtMjIwYjFjNmI3ZGEwXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX67_CR0,0,67,98_AL_.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,Angry
Star Wars: Episode V - The Empire Strikes Back,after the rebels are brutally overpowered by the empire on the ice planet hoth luke skywalker begins jedi training with yoda while his friends are pursued by darth vader and a bounty hunter named boba fett all over the galaxy,0.6470588235294112,"https://m.media-amazon.com/images/M/MV5BYmU1NDRjNDgtMzhiMi00NjZmLTg5NGItZDNiZjU5NTU4OTE0XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX67_CR0,0,67,98_AL_.jpg",0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,Angry
One Flew Over the Cuckoo's Nest,a criminal pleads insanity and is admitted to a mental institution where he rebels against the oppressive nurse and rallies up the scared patients,0.6470588235294112,"https://m.media-amazon.com/images/M/MV5BZjA0OWVhOTAtYWQxNi00YzNhLWI4ZjYtNjFjZTEyYjJlNDVlL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX67_CR0,0,67,98_AL_.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Sad
Hamilton,the real life of one of americas foremost founding fathers and first secretary of the treasury alexander hamilton captured live on broadway from the richard rodgers theater with the original broadway cast,0.5882352941176467,"https://m.media-amazon.com/images/M/MV5BNjViNWRjYWEtZTI0NC00N2E3LTk0NGQtMjY4NTM3OGNkZjY0XkEyXkFqcGdeQXVyMjUxMTY3ODM@._V1_UX67_CR0,0,67,98_AL_.jpg",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,Sad
Gisaengchung,greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy park family and the destitute kim clan,0.5882352941176467,"https://m.media-amazon.com/images/M/MV5BYWZjMjk3ZTItODQ2ZC00NTY5LWE0ZDYtZTI3MjcwN2Q5NTVkXkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_UX67_CR0,0,67,98_AL_.jpg",0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,Fear
Soorarai Pottru,nedumaaran rajangam maara sets out to make the common man fly and in the process takes on the worlds most capital intensive industry and several enemies who stand in his way,0.5882352941176467,"https://m.media-amazon.com/images/M/MV5BOTc2ZTlmYmItMDBhYS00YmMzLWI4ZjAtMTI5YTBjOTFiMGEwXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_UY98_CR0,0,67,98_AL_.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Sad
Interstellar,a team of explorers travel through a wormhole in space in an attempt to ensure humanitys survival,0.5882352941176467,"https://m.media-amazon.com/images/M/MV5BZjdkOTU3MDktN2IxOS00OGEyLWFmMjktY2FiMmZkNWIyODZiXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UX67_CR0,0,67,98_AL_.jpg",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,Sad
Cidade de Deus,in the slums of rio two kids paths diverge as one struggles to become a photographer and the other a kingpin,0.5882352941176467,"https://m.media-amazon.com/images/M/MV5BOTMwYjc5ZmItYTFjZC00ZGQ3LTlkNTMtMjZiNTZlMWQzNzI5XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX67_CR0,0,67,98_AL_.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,Angry
Sen to Chihiro no kamikakushi,during her familys move to the suburbs a sullen yearold girl wanders into a world ruled by gods witches and spirits and where humans are changed into beasts,0.5882352941176467,"https://m.media-amazon.com/images/M/MV5BMjlmZmI5MDctNDE2YS00YWE0LWE5ZWItZDBhYWQ0NTcxNWRhXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UX67_CR0,0,67,98_AL_.jpg",0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,Happy
Saving Private Ryan,following the normandy landings a group of us soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action,0.5882352941176467,"https://m.media-amazon.com/images/M/MV5BZjhkMDM4MWItZTVjOC00ZDRhLThmYTAtM2I5NzBmNmNlMzI1XkEyXkFqcGdeQXVyNDYyMDk5MTU@._V1_UX67_CR0,0,67,98_AL_.jpg",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Angry
The Green Mile,the lives of guards on death row are affected by one of their charges a black man accused of child murder and rape yet who has a mysterious gift,0.5882352941176467,"https://m.media-amazon.com/images/M/MV5BMTUxMzQyNjA5MF5BMl5BanBnXkFtZTYwOTU2NTY3._V1_UX67_CR0,0,67,98_AL_.jpg",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,Angry
La vita è bella,when an openminded jewish librarian and his son become victims of the holocaust he uses a perfect mixture of will humor and imagination to protect his son from the dangers around their camp,0.5882352941176467,"https://m.media-amazon.com/images/M/MV5BYmJmM2Q4NmMtYThmNC00ZjRlLWEyZmItZTIwOTBlZDQ3NTQ1XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX67_CR0,0,67,98_AL_.jpg",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,Happy
Se7en,two detectives a rookie and a veteran hunt a serial killer who uses the seven deadly sins as his motives,0.5882352941176467,"https://m.media-amazon.com/images/M/MV5BOTUwODM5MTctZjczMi00OTk4LTg3NWUtNmVhMTAzNTNjYjcyXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX67_CR0,0,67,98_AL_.jpg",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,Angry
The Silence of the Lambs,a young fbi cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer a madman who skins his victims,0.5882352941176467,"https://m.media-amazon.com/images/M/MV5BNjNhZTk0ZmEtNjJhMi00YzFlLWE1MmEtYzM1M2ZmMGMwMTU4XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX67_CR0,0,67,98_AL_.jpg",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,Angry
Star Wars,luke skywalker joins forces with a jedi knight a cocky pilot a wookiee and two droids to save the galaxy from the empires worlddestroying battle station while also attempting to rescue princess leia from the mysterious darth vader,0.5882352941176467,"https://m.media-amazon.com/images/M/MV5BNzVlY2MwMjktM2E4OS00Y2Y3LWE3ZjctYzhkZGM3YzA1ZWM2XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX67_CR0,0,67,98_AL_.jpg",0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,Angry
Seppuku,when a ronin requesting seppuku at a feudal lords palace is told of the brutal suicide of another ronin who previously visited he reveals how their pasts are intertwined  and in doing so challenges the clans integrity,0.5882352941176467,"https://m.media-amazon.com/images/M/MV5BYjBmYTQ1NjItZWU5MS00YjI0LTg2OTYtYmFkN2JkMmNiNWVkXkEyXkFqcGdeQXVyMTMxMTY0OTQ@._V1_UY98_CR2,0,67,98_AL_.jpg",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,Angry
Shichinin no samurai,a poor village under attack by bandits recruits seven unemployed samurai to help them defend themselves,0.5882352941176467,"https://m.media-amazon.com/images/M/MV5BOWE4ZDdhNmMtNzE5ZC00NzExLTlhNGMtY2ZhYjYzODEzODA1XkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_UY98_CR1,0,67,98_AL_.jpg",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,Angry
It's a Wonderful Life,an angel is sent from heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed,0.5882352941176467,"https://m.media-amazon.com/images/M/MV5BZjc4NDZhZWMtNGEzYS00ZWU2LThlM2ItNTA0YzQ0OTExMTE2XkEyXkFqcGdeQXVyNjUwMzI2NzU@._V1_UY98_CR0,0,67,98_AL_.jpg",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,Happy
Joker,in gotham city mentally troubled comedian arthur fleck is disregarded and mistreated by society he then embarks on a downward spiral of revolution and bloody crime this path brings him facetoface with his alterego the joker,0.5294117647058822,"https://m.media-amazon.com/images/M/MV5BNGVjNWI4ZGUtNzE0MS00YTJmLWE0ZDctN2ZiYTk2YmI3NTYyXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UX67_CR0,0,67,98_AL_.jpg",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,Angry
Whiplash,a promising young drummer enrolls at a cutthroat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a students potential,0.5294117647058822,"https://m.media-amazon.com/images/M/MV5BOTA5NDZlZGUtMjAxOS00YTRkLTkwYmMtYWQ0NWEwZDZiNjEzXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UX67_CR0,0,67,98_AL_.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,Sad
The Intouchables,after he becomes a quadriplegic from a paragliding accident an aristocrat hires a young man from the projects to be his caregiver,0.5294117647058822,"https://m.media-amazon.com/images/M/MV5BMTYxNDA3MDQwNl5BMl5BanBnXkFtZTcwNTU4Mzc1Nw@@._V1_UX67_CR0,0,67,98_AL_.jpg",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,Happy
The Prestige,after a tragic accident two stage magicians engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other,0.5294117647058822,"https://m.media-amazon.com/images/M/MV5BMjA4NDI0MTIxNF5BMl5BanBnXkFtZTYwNTM0MzY2._V1_UX67_CR0,0,67,98_AL_.jpg",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,Disgust
The Departed,an undercover cop and a mole in the police attempt to identify each other while infiltrating an irish gang in south boston,0.5294117647058822,"https://m.media-amazon.com/images/M/MV5BMTI1MTY2OTIxNV5BMl5BanBnXkFtZTYwNjQ4NjY3._V1_UX67_CR0,0,67,98_AL_.jpg",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,Angry
The Pianist,a polish jewish musician struggles to survive the destruction of the warsaw ghetto of world war ii,0.5294117647058822,"https://m.media-amazon.com/images/M/MV5BOWRiZDIxZjktMTA1NC00MDQ2LWEzMjUtMTliZmY3NjQ3ODJiXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UY98_CR2,0,67,98_AL_.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,Sad
Gladiator,a former roman general sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery,0.5294117647058822,"https://m.media-amazon.com/images/M/MV5BMDliMmNhNDEtODUyOS00MjNlLTgxODEtN2U3NzIxMGVkZTA1L2ltYWdlXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX67_CR0,0,67,98_AL_.jpg",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,Angry
American History X,a former neonazi skinhead tries to prevent his younger brother from going down the same wrong path that he did,0.5294117647058822,"https://m.media-amazon.com/images/M/MV5BZjA0MTM4MTQtNzY5MC00NzY3LWI1ZTgtYzcxMjkyMzU4MDZiXkEyXkFqcGdeQXVyNDYyMDk5MTU@._V1_UX67_CR0,0,67,98_AL_.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Sad
The Usual Suspects,a sole survivor tells of the twisty events leading up to a horrific gun battle on a boat which began when five criminals met at a seemingly random police lineup,0.5294117647058822,"https://m.media-amazon.com/images/M/MV5BYTViNjMyNmUtNDFkNC00ZDRlLThmMDUtZDU2YWE4NGI2ZjVmXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX67_CR0,0,67,98_AL_.jpg",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Angry
Léon,mathilda a yearold girl is reluctantly taken in by léon a professional assassin after her family is murdered an unusual relationship forms as she becomes his protégée and learns the assassins trade,0.5294117647058822,"https://m.media-amazon.com/images/M/MV5BODllNWE0MmEtYjUwZi00ZjY3LThmNmQtZjZlMjI2YTZjYmQ0XkEyXkFqcGdeQXVyNTc1NTQxODI@._V1_UX67_CR0,0,67,98_AL_.jpg",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,Angry
The Lion King,lion prince simba and his father are targeted by his bitter uncle who wants to ascend the throne himself,0.5294117647058822,"https://m.media-amazon.com/images/M/MV5BYTYxNGMyZTYtMjE3MS00MzNjLWFjNmYtMDk3N2FmM2JiM2M1XkEyXkFqcGdeQXVyNjY5NDU4NzI@._V1_UX67_CR0,0,67,98_AL_.jpg",0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,Sad
Terminator 2: Judgment Day,a cyborg identical to the one who failed to kill sarah connor must now protect her teenage son john connor from a more advanced and powerful cyborg,0.5294117647058822,"https://m.media-amazon.com/images/M/MV5BMGU2NzRmZjUtOGUxYS00ZjdjLWEwZWItY2NlM2JhNjkxNTFmXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX67_CR0,0,67,98_AL_.jpg",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,Angry
Nuovo Cinema Paradiso,a filmmaker recalls his childhood when falling in love with the pictures at the cinema of his home village and forms a deep friendship with the cinemas projectionist,0.5294117647058822,"https://m.media-amazon.com/images/M/MV5BM2FhYjEyYmYtMDI1Yy00YTdlLWI2NWQtYmEzNzAxOGY1NjY2XkEyXkFqcGdeQXVyNTA3NTIyNDg@._V1_UX67_CR0,0,67,98_AL_.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,Happy
Hotaru no haka,a young boy and his little sister struggle to survive in japan during world war ii,0.5294117647058822,"https://m.media-amazon.com/images/M/MV5BZmY2NjUzNDQtNTgxNC00M2Q4LTljOWQtMjNjNDBjNWUxNmJlXkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_UX67_CR0,0,67,98_AL_.jpg",0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,Angry
Back to the Future,marty mcfly a yearold high school student is accidentally sent thirty years into the past in a timetraveling delorean invented by his close friend the eccentric scientist doc brown,0.5294117647058822,"https://m.media-amazon.com/images/M/MV5BZmU0M2Y1OGUtZjIxNi00ZjBkLTg1MjgtOWIyNThiZWIwYjRiXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX67_CR0,0,67,98_AL_.jpg",0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,Happy
Once Upon a Time in the West,a mysterious stranger with a harmonica joins forces with a notorious desperado to protect a beautiful widow from a ruthless assassin working for the railroad,0.5294117647058822,"https://m.media-amazon.com/images/M/MV5BZGI5MjBmYzYtMzJhZi00NGI1LTk3MzItYjBjMzcxM2U3MDdiXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX67_CR0,0,67,98_AL_.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Angry
Psycho,a phoenix secretary embezzles  from her employers client goes on the run and checks into a remote motel run by a young man under the domination of his mother,0.5294117647058822,"https://m.media-amazon.com/images/M/MV5BNTQwNDM1YzItNDAxZC00NWY2LTk0M2UtNDIwNWI5OGUyNWUxXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX67_CR0,0,67,98_AL_.jpg",0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Disgust
Casablanca,a cynical expatriate american cafe owner struggles to decide whether or not to help his former lover and her fugitive husband escape the nazis in french morocco,0.5294117647058822,"https://m.media-amazon.com/images/M/MV5BY2IzZGY2YmEtYzljNS00NTM5LTgwMzUtMzM1NjQ4NGI0OTk0XkEyXkFqcGdeQXVyNDYyMDk5MTU@._V1_UX67_CR0,0,67,98_AL_.jpg",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,Angry
Modern Times,the tramp struggles to live in modern industrial society with the help of a young homeless woman,0.5294117647058822,"https://m.media-amazon.com/images/M/MV5BYjJiZjMzYzktNjU0NS00OTkxLWEwYzItYzdhYWJjN2QzMTRlL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX67_CR0,0,67,98_AL_.jpg",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,Happy
City Lights,with the aid of a wealthy erratic tippler a dewyeyed tramp who has fallen in love with a sightless flower girl accumulates money to be able to help her medically,0.5294117647058822,"https://m.media-amazon.com/images/M/MV5BY2I4MmM1N2EtM2YzOS00OWUzLTkzYzctNDc5NDg2N2IyODJmXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX67_CR0,0,67,98_AL_.jpg",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,Happy
Capharnaüm,while serving a fiveyear sentence for a violent crime a yearold boy sues his parents for neglect,0.4705882352941177,"https://m.media-amazon.com/images/M/MV5BMmExNzU2ZWMtYzUwYi00YmM2LTkxZTQtNmVhNjY0NTMyMWI2XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UX67_CR0,0,67,98_AL_.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Sad
Ayla: The Daughter of War,in  amidst the ravages of the korean war sergeant süleyman stumbles upon a halffrozen little girl with no parents and no help in sight frantic scared and on the verge of death                 see full summary ,0.4705882352941177,"https://m.media-amazon.com/images/M/MV5BNWJhMDlmZGUtYzcxNS00NDRiLWIwNjktNDY1Mjg3ZjBkYzY0XkEyXkFqcGdeQXVyMTU4MjUwMjI@._V1_UY98_CR2,0,67,98_AL_.jpg",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,Sad
Vikram Vedha,vikram a nononsense police officer accompanied by simon his partner is on the hunt to capture vedha a smuggler and a murderer vedha tries to change vikrams life which leads to a conflict,0.4705882352941177,"https://m.media-amazon.com/images/M/MV5BY2FiMTFmMzMtZDI2ZC00NDQyLWExYTUtOWNmZWM1ZDg5YjVjXkEyXkFqcGdeQXVyODIwMDI1NjM@._V1_UX67_CR0,0,67,98_AL_.jpg",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,Angry
Kimi no na wa.,two strangers find themselves linked in a bizarre way when a connection forms will distance be the only thing to keep them apart,0.4705882352941177,"https://m.media-amazon.com/images/M/MV5BODRmZDVmNzUtZDA4ZC00NjhkLWI2M2UtN2M0ZDIzNDcxYThjL2ltYWdlXkEyXkFqcGdeQXVyNTk0MzMzODA@._V1_UX67_CR0,0,67,98_AL_.jpg",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,Sad
Dangal,former wrestler mahavir singh phogat and his two wrestler daughters struggle towards glory at the commonwealth games in the face of societal oppression,0.4705882352941177,"https://m.media-amazon.com/images/M/MV5BMTQ4MzQzMzM2Nl5BMl5BanBnXkFtZTgwMTQ1NzU3MDI@._V1_UY98_CR1,0,67,98_AL_.jpg",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,Angry
Spider-Man: Into the Spider-Verse,teen miles morales becomes the spiderman of his universe and must join with five spiderpowered individuals from other dimensions to stop a threat for all realities,0.4705882352941177,"https://m.media-amazon.com/images/M/MV5BMjMwNDkxMTgzOF5BMl5BanBnXkFtZTgwNTkwNTQ3NjM@._V1_UX67_CR0,0,67,98_AL_.jpg",0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,Angry
